date,region,complaint_count,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress,precipitation_mm,week
2021-01-04,세종특별자치시,0,,,,,,,,,0.0,2020-12-29/2021-01-04
2021-01-04,울산광역시,1,0.5854576617479325,0.5578646630048751,0.0,0.953408807516098,0.2076858073472977,0.1588629484176635,0.0,0.0,0.0,2020-12-29/2021-01-04
2021-01-04,인천광역시,0,,,,,,,,,1.0,2020-12-29/2021-01-04
2021-01-04,전라남도,0,,,,,,,,,0.0,2020-12-29/2021-01-04
2021-01-04,전라북도,1,0.9228064715862274,0.2256613522768021,0.0,0.3406467214226722,0.697046336531639,0.0,0.0,0.3410512745380402,0.0,2020-12-29/2021-01-04
2021-01-04,제주특별자치도,0,,,,,,,,,0.0,2020-12-29/2021-01-04
2021-01-04,충청남도,0,,,,,,,,,0.0,2020-12-29/2021-01-04
2021-01-04,충청북도,0,,,,,,,,,0.0,2020-12-29/2021-01-04
2021-01-05,강원도,0,,,,,,,,,0.21428571428571427,2021-01-05/2021-01-11
2021-01-05,경기도,1,0.7249609291553498,0.6569491446018219,0.7268480002880096,0.3574561774730682,0.7660479903221131,0.0,0.3864386528730392,0.2603200018405915,0.2,2021-01-05/2021-01-11
2021-01-05,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,경상북도,0,,,,,,,,,0.07142857142857142,2021-01-05/2021-01-11
2021-01-05,광주광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,대전광역시,0,,,,,,,,,0.1,2021-01-05/2021-01-11
2021-01-05,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,서울특별시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,세종특별자치시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,인천광역시,0,,,,,,,,,1.6666666666666667,2021-01-05/2021-01-11
2021-01-05,전라남도,0,,,,,,,,,0.1,2021-01-05/2021-01-11
2021-01-05,전라북도,0,,,,,,,,,0.19,2021-01-05/2021-01-11
2021-01-05,제주특별자치도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-05,충청남도,0,,,,,,,,,0.21666666666666667,2021-01-05/2021-01-11
2021-01-05,충청북도,0,,,,,,,,,0.14,2021-01-05/2021-01-11
2021-01-06,강원도,0,,,,,,,,,0.0071428571428571435,2021-01-05/2021-01-11
2021-01-06,경기도,2,0.2071472577750683,0.8999617546796799,0.49746161401271827,0.6132645890116691,0.6628541618585586,0.0,0.43163762688636775,0.12215684950351716,1.22,2021-01-05/2021-01-11
2021-01-06,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
