week,region,complaint_count,precipitation_mm,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress
2020-12-29/2021-01-04,강원도,1,0.0,0.0,0.9773965179920197,0.864318922162056,0.4004785180091858,0.5355613023042678,0.0,0.7524984359741211,0.1745595335960388
2020-12-29/2021-01-04,경기도,6,0.0,0.34309633225202557,0.3145749866962433,0.11171476244926454,0.2705068230628967,0.25792871713638305,0.3618571879135238,0.13824292123317716,0.0
2020-12-29/2021-01-04,경상남도,0,0.0,,,,,,,,
2020-12-29/2021-01-04,경상북도,0,0.20535714285714288,,,,,,,,
2020-12-29/2021-01-04,광주광역시,1,0.125,0.1536209851503372,0.0,0.0,0.0,0.0,0.4157178640365601,0.0,0.0
2020-12-29/2021-01-04,대구광역시,0,0.0,,,,,,,,
2020-12-29/2021-01-04,대전광역시,0,0.525,,,,,,,,
2020-12-29/2021-01-04,부산광역시,0,0.0,,,,,,,,
2020-12-29/2021-01-04,서울특별시,0,0.0,,,,,,,,
2020-12-29/2021-01-04,세종특별자치시,0,0.27499999999999997,,,,,,,,
2020-12-29/2021-01-04,울산광역시,1,0.0,0.5854576617479325,0.5578646630048751,0.0,0.953408807516098,0.2076858073472977,0.1588629484176635,0.0,0.0
2020-12-29/2021-01-04,인천광역시,0,0.3,,,,,,,,
2020-12-29/2021-01-04,전라남도,0,0.12307692307692307,,,,,,,,
2020-12-29/2021-01-04,전라북도,1,0.21250000000000002,0.9228064715862274,0.2256613522768021,0.0,0.3406467214226722,0.697046336531639,0.0,0.0,0.3410512745380402
2020-12-29/2021-01-04,제주특별자치도,0,0.08125,,,,,,,,
2020-12-29/2021-01-04,충청남도,0,0.27499999999999997,,,,,,,,
2020-12-29/2021-01-04,충청북도,0,0.185,,,,,,,,
2021-01-05/2021-01-11,강원도,1,0.16020408163265307,0.3248710870742798,0.8031372249126435,0.9213174283504486,0.544034731388092,0.341018745303154,0.0,0.6349460840225221,0.06651145219802855
2021-01-05/2021-01-11,경기도,9,0.5914285714285715,0.34213561204572523,0.4752357259392738,0.40492030630509057,0.36266769890983896,0.44278601656357447,0.12477812816699346,0.25799949450625315,0.1359079076184167
2021-01-05/2021-01-11,경상남도,0,0.01326530612244898,,,,,,,,
2021-01-05/2021-01-11,경상북도,1,0.4959183673469388,0.289553502202034,0.0,0.0,0.0,0.0,0.8648179173469543,0.0,0.0
2021-01-05/2021-01-11,광주광역시,1,0.4571428571428572,0.285672801733017,0.0,0.0,0.0,0.0,0.4518725916743279,0.0,0.0
2021-01-05/2021-01-11,대구광역시,0,0.028571428571428574,,,,,,,,
2021-01-05/2021-01-11,대전광역시,0,0.5428571428571429,,,,,,,,
2021-01-05/2021-01-11,부산광역시,0,0.0,,,,,,,,
2021-01-05/2021-01-11,서울특별시,5,0.3285714285714286,0.0,0.19572808220982552,0.17695673555135727,0.15186893604695798,0.22706089541316032,0.38813883662223814,0.05818368941545485,0.0
2021-01-05/2021-01-11,세종특별자치시,0,0.4857142857142857,,,,,,,,
2021-01-05/2021-01-11,울산광역시,0,0.028571428571428574,,,,,,,,
2021-01-05/2021-01-11,인천광역시,0,2.342857142857143,,,,,,,,
2021-01-05/2021-01-11,전라남도,1,0.47802197802197804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05/2021-01-11,전라북도,2,1.1714285714285713,0.4384876936674118,0.3747563898563385,0.33732860088348393,0.297900316119194,0.579613882303238,0.0730940982699394,0.1812357202172279,0.0
2021-01-05/2021-01-11,제주특별자치도,0,2.8785714285714286,,,,,,,,
2021-01-05/2021-01-11,충청남도,0,0.6690476190476191,,,,,,,,
2021-01-05/2021-01-11,충청북도,0,0.28857142857142865,,,,,,,,
2021-01-12/2021-01-18,강원도,0,0.313265306122449,,,,,,,,
2021-01-12/2021-01-18,경기도,5,0.5285714285714286,0.3117158730824789,0.2639272848765056,0.16169441938400267,0.2279100999236107,0.16357688456773756,0.5533979554971059,0.11002009908358257,0.023578825096289318
2021-01-12/2021-01-18,경상남도,3,0.09183673469387756,0.6396045843760173,0.38368678291638686,0.5531844178835551,0.5688929955164591,0.33668846487998955,0.19033960402011874,0.2056161959966024,0.14084125359853106
2021-01-12/2021-01-18,경상북도,0,0.6285714285714287,,,,,,,,
2021-01-12/2021-01-18,광주광역시,3,0.5714285714285714,0.457838382323583,0.7024751981099446,0.3452372541030248,0.7180536647637684,0.17250644067923226,0.0,0.4243934144576391,0.2680767019589742
2021-01-12/2021-01-18,대구광역시,6,0.0,0.2037646995857358,0.327612292021513,0.29209009781479833,0.1473568767309189,0.38650849275290966,0.09676526561379434,0.2005898389965296,0.024872999638319012
2021-01-12/2021-01-18,대전광역시,0,0.6571428571428571,,,,,,,,
2021-01-12/2021-01-18,부산광역시,0,0.0,,,,,,,,
2021-01-12/2021-01-18,서울특별시,1,0.4428571428571429,0.1051336765289307,0.9871430695056915,0.8799983382225036,0.3703536629676819,0.595906975865364,0.0,0.7731119871139527,0.1584107860922813
2021-01-12/2021-01-18,세종특별자치시,0,0.39999999999999997,,,,,,,,
2021-01-12/2021-01-18,울산광역시,0,0.0,,,,,,,,
2021-01-12/2021-01-18,인천광역시,1,0.6952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12/2021-01-18,전라남도,1,0.1901098901098901,0.3491503074765205,0.0,0.0,0.8761864006519318,0.0,0.0,0.0,0.0
2021-01-12/2021-01-18,전라북도,1,0.8528571428571429,0.0,0.9790578186511993,0.8074435740709305,0.3657951802015305,0.4124503344297409,0.0,0.8049916982650758,0.2079896569252014
2021-01-12/2021-01-18,제주특별자치도,0,0.6678571428571428,,,,,,,,
2021-01-12/2021-01-18,충청남도,2,0.5333333333333333,0.4216599360108375,0.48632001876831055,0.42464010268449787,0.41722080111503596,0.23693816363811496,0.1788739711046219,0.35871841907501223,0.13727599382400515
2021-01-12/2021-01-18,충청북도,1,0.47714285714285715,0.7296860039234161,0.6087196946144104,0.1051746129989624,0.7724020898342132,0.1975930094718933,0.0,0.1520828753709793,0.4188083171844482
2021-01-19/2021-01-25,강원도,0,0.5663265306122449,,,,,,,,
2021-01-19/2021-01-25,경기도,9,0.9342857142857142,0.4213623301684857,0.2201167196035385,0.18873451948165892,0.22346987992525102,0.10776181280612944,0.38213658809661866,0.12630679130554198,0.05481100231409073
2021-01-19/2021-01-25,경상남도,0,0.6142857142857144,,,,,,,,
2021-01-19/2021-01-25,경상북도,1,0.6091836734693877,0.4350545674562454,0.7757063001394272,0.4955575406551361,0.4736154586076736,0.9371186196804047,0.0,0.295290532708168,0.08641819953918457
2021-01-19/2021-01-25,광주광역시,1,1.957142857142857,0.0,0.0,0.0,0.0,0.0,0.2473903834819794,0.0,0.0
2021-01-19/2021-01-25,대구광역시,2,0.2,0.1556471914052963,0.4429414108395576,0.22119117230176924,0.42838732749223707,0.3288915038108826,0.0,0.1677681267261505,0.0
2021-01-19/2021-01-25,대전광역시,1,1.0714285714285716,0.1337594240903854,0.3439613580703735,0.0,0.2395792007446289,0.09695801734924317,0.0,0.2915596067905426,0.0
2021-01-19/2021-01-25,부산광역시,0,1.2,,,,,,,,
2021-01-19/2021-01-25,서울특별시,3,1.3285714285714287,0.20816232164700824,0.5551796466112137,0.5204129010438919,0.2953689932823181,0.23538918594519295,0.0,0.4279679576555888,0.18393392761548366
2021-01-19/2021-01-25,세종특별자치시,0,1.2857142857142858,,,,,,,,
